      stars                                 name                                                                         homepage
391      46                                disba                                              https://github.com/keurfonluu/disba
247      45                             cityseer                                          https://cityseer.benchmarkurbanism.com/
69       45                            chemcoord                                            https://github.com/mcocdawc/chemcoord
256      44                          thermosteam                          https://github.com/BioSTEAMDevelopmentGroup/thermosteam
301      44                          thermosteam                          https://github.com/BioSTEAMDevelopmentGroup/thermosteam
28       43                               vector                                                    https://vector.readthedocs.io
766      43                               typhon                                               https://github.com/atmtools/typhon
111      42                               resqpy                                                     https://github.com/bp/resqpy
464      42                                girth                                                 https://eribean.github.io/girth/
191      41                              facemap                                             https://github.com/MouseLand/FaceMap
140      41                               metsim                                               https://github.com/UW-Hydro/MetSim
378      40                         numbakit-ode                                          https://github.com/hgrecco/numbakit-ode
153      40                          tridesclous                                      https://github.com/tridesclous/trisdesclous
310      40                            kikuchipy                                                            https://kikuchipy.org
258      40                            kikuchipy                                                            https://kikuchipy.org
238      40                         numbakit-ode                                          https://github.com/hgrecco/numbakit-ode
744      39                             aquacrop                                           https://github.com/aquacropos/aquacrop
274      39                         quaternionic                                            https://github.com/moble/quaternionic
393      38                             diffsims                                                https://github.com/pyxem/diffsims
254      38                             diffsims                                                https://github.com/pyxem/diffsims
290      38                                muDIC                                              https://github.com/PolymerGuy/muDIC
272      37                             glotaran                                           https://github.com/glotaran/pyglotaran
537      37                       spectrum-utils                                    https://github.com/bittremieux/spectrum_utils
461      37                           pyglotaran                                           https://github.com/glotaran/pyglotaran
73       37                           turbo-seti                                     https://github.com/UCBerkeleySETI/turbo_seti
281      37                            mesmerize                                         https://github.com/kushalkolar/MESmerize
522      36                                 iscc                                                              https://iscc.codes/
337      35                            grapetree                                         https://github.com/achtman-lab/GrapeTree
249      35                            grapetree                                         https://github.com/achtman-lab/GrapeTree
234      35                           deepflash2                                            https://github.com/matjesg/deepflash2
134      34                              fteikpy                                            https://github.com/keurfonluu/fteikpy
